timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain
2021-06-09 06:29:24.079233,51,47,0,23,25,4.304299116269196,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:24.742395,51,47,0,23,25,4.304299116269196,3,3,34,16.333333333333332,0,0,49,1,0:00:00.663162,1,0
2021-06-09 06:29:24.944943,51,47,0,27,21,4.27077939186632,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:24.997840,51,47,0,27,21,4.27077939186632,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052897,1,0
2021-06-09 06:29:25.099425,51,47,0,24,24,4.295193362412134,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:25.152424,51,47,0,24,24,4.295193362412134,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052999,1,0
2021-06-09 06:29:25.958975,51,47,0,29,19,4.2502817142659906,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:26.011971,51,47,0,29,19,4.2502817142659906,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052996,1,0
2021-06-09 06:29:26.114063,51,47,0,29,19,4.263631784482,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:26.586015,51,47,0,29,19,4.263631784482,3,3,34,16.333333333333332,0,0,49,1,0:00:00.471952,1,0
2021-06-09 06:29:26.990002,51,47,0,22,26,4.23074323539639,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:27.042761,51,47,0,22,26,4.23074323539639,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052759,1,0
2021-06-09 06:29:27.144523,51,47,0,27,21,4.241175960408929,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:27.197811,51,47,0,27,21,4.241175960408929,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053288,1,0
2021-06-09 06:29:28.003400,51,47,0,24,24,4.271917068143643,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:28.055260,51,47,0,24,24,4.271917068143643,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051860,1,0
2021-06-09 06:29:28.157424,51,47,0,23,25,4.225867743720176,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:28.208464,51,47,0,23,25,4.225867743720176,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051040,1,0
2021-06-09 06:29:29.016348,51,47,0,30,18,4.225867743720177,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:29.069510,51,47,0,30,18,4.225867743720177,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053162,1,0
2021-06-09 06:29:29.171349,51,47,0,27,21,4.3363671951593865,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:29.222507,51,47,0,27,21,4.3363671951593865,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051158,1,0
2021-06-09 06:29:30.028055,51,47,0,26,22,4.335546724963967,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:30.080269,51,47,0,26,22,4.335546724963967,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052214,1,0
2021-06-09 06:29:30.182362,51,47,0,25,23,4.254019529664881,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:30.234050,51,47,0,25,23,4.254019529664881,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051688,1,0
2021-06-09 06:29:31.041417,51,47,0,21,27,4.241175960408929,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:31.094115,51,47,0,21,27,4.241175960408929,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052698,1,0
2021-06-09 06:29:31.196038,51,47,0,25,23,4.390384597162592,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:31.247156,51,47,0,25,23,4.390384597162592,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051118,1,0
2021-06-09 06:29:32.052746,51,47,0,27,21,4.27077939186632,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:32.203593,51,47,0,25,23,4.311953224613572,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:32.207398,51,47,0,27,21,4.27077939186632,3,3,34,16.333333333333332,0,0,49,1,0:00:00.154652,1,0
2021-06-09 06:29:33.065870,51,47,0,23,25,4.240355490213509,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:33.068925,51,47,0,25,23,4.311953224613572,3,3,34,16.333333333333332,0,0,49,1,0:00:00.865332,1,0
2021-06-09 06:29:33.118941,51,47,0,23,25,4.240355490213509,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053071,1,0
