"timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain"
"2021-03-30 01:15:08.924739,72,56,0,63,6,4.249756953860752,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:09.132873,72,56,0,63,6,4.249756953860752,3,4,29,17.25,0,0,69,1,0:00:00.208134,1,0"
"2021-03-30 01:15:09.160340,72,56,0,66,3,4.290977605398642,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:09.349966,72,56,0,66,3,4.290977605398642,3,4,29,17.25,0,0,69,1,0:00:00.189626,1,0"
"2021-03-30 01:15:09.378883,185,68,0,161,17,4.80006390588437,7,8,39,22.25,0,0,178,1,0,0,0"
"2021-03-30 01:15:09.701926,185,68,0,161,17,4.80006390588437,7,8,39,22.25,0,0,178,1,0:00:00.323043,1,0"
"2021-03-30 01:15:09.722006,190,74,0,164,19,4.867348203563989,7,8,39,22.875,0,0,183,1,0,0,0"
"2021-03-30 01:15:10.005851,190,74,0,164,19,4.867348203563989,7,8,39,22.875,0,0,183,1,0:00:00.283845,1,0"
"2021-03-30 01:15:10.048949,146,42,0,129,11,4.588812355954629,6,7,31,20.0,0,0,140,1,0,0,0"
"2021-03-30 01:15:10.312889,146,42,0,129,11,4.588812355954629,6,7,31,20.0,0,0,140,1,0:00:00.263940,1,0"
"2021-03-30 01:15:10.346935,66,50,0,58,5,4.342991410835155,3,4,26,15.75,0,0,63,1,0,0,0"
"2021-03-30 01:15:10.515830,66,50,0,58,5,4.342991410835155,3,4,26,15.75,0,0,63,1,0:00:00.168895,1,0"
"2021-03-30 01:15:10.549616,72,56,0,60,9,4.258455087710737,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:10.827205,72,56,0,60,9,4.258455087710737,3,4,29,17.25,0,0,69,1,0:00:00.277589,1,0"
"2021-03-30 01:15:10.861757,72,56,0,63,6,4.174260549927697,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:11.131321,72,56,0,63,6,4.174260549927697,3,4,29,17.25,0,0,69,1,0:00:00.269564,1,0"
"2021-03-30 01:15:11.160434,72,56,0,62,7,4.192940799482508,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:11.361617,72,56,0,62,7,4.192940799482508,3,4,29,17.25,0,0,69,1,0:00:00.201183,1,0"
"2021-03-30 01:15:11.410756,72,56,0,60,9,4.152703504658854,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:11.579635,72,56,0,60,9,4.152703504658854,3,4,29,17.25,0,0,69,1,0:00:00.168879,1,0"
"2021-03-30 01:15:11.629911,72,56,0,62,7,4.100823817248998,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:11.808270,72,56,0,62,7,4.100823817248998,3,4,29,17.25,0,0,69,1,0:00:00.178359,1,0"
"2021-03-30 01:15:11.832400,72,56,0,59,10,4.376415502176915,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:12.025452,72,56,0,59,10,4.376415502176915,3,4,29,17.25,0,0,69,1,0:00:00.193052,1,0"
